1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),Year,is_weekend,is_holiday,is_morning_rush,is_evening_rush,month_sin,month_cos,hour_sin,hour_cos
44.29,67.83,17.57,76.17,64.67,88.83,2295.0,2376.0,10.8,,0.6,92.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
43.46,79.58,21.54,74.5,64.33,78.92,2998.0,2940.0,10.5,,1.1,93.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
42.38,84.67,24.58,53.42,61.42,62.08,3261.0,2857.0,10.7,,1.5,93.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
35.09,83.58,25.37,73.17,63.42,71.5,3805.0,3039.0,12.2,,1.6,90.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
34.33,81.0,25.87,45.42,61.92,56.08,3766.0,2659.0,14.3,,1.4,80.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
35.89,82.0,26.08,45.42,65.67,37.83,3650.0,2547.0,16.7,,2.0,67.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
31.96,80.92,25.24,17.33,57.67,30.75,3052.0,2437.0,18.6,,2.3,54.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
28.91,79.75,26.31,32.58,67.25,27.5,3666.0,2675.0,19.8,,2.3,48.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
27.29,82.67,20.48,48.67,66.17,40.0,3588.0,2735.0,21.7,,1.9,41.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
30.75,80.5,20.1,32.0,64.67,41.42,3530.0,2726.0,23.4,,2.4,32.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
